SIREN;NIC;SIRET;Statut de diffusion de l'établissement;Date de création de l'établissement;Tranche de l'effectif de l'établissement;Tranche de l'effectif de l'établissement triable;Année de la tranche d'effectif de l'établissement;Activité principale de l'établissement;Date de la dernière mise à jour de l'établissement;Etablissement siège;Nombre de periodes de l'établissement;Complément d'adresse de l'établissement;Numéro de voie de l'établissement;Indice de répétition de l'établissement;Type de voie de l'établissement;Libellé de la voie de l'établissement;Code postal de l'établissement;Commune de l'établissement;Libellé de la commune de l'établissement à l'étranger;Distribution spéciale de l'établissement;Code commune de l'établissement;Code cedex de l'établissement;Libellé cedex de l'établissement;Code du pays de l'établissement étranger;Libellé du pays de l'établissement étranger;Complément d'adresse de l'établissement 2;Numero de voie de l'établissement 2;Indice de répétition de l'établissement 2;Type de voie de l'établissement 2;Libellé de la voie de l'établissement 2;Code postal de l'établissement 2;Libellé de la commune de l'établissement 2;Libellé de la commune de l'établissement étranger 2;Distribution spéciale de l'établissement 2;Code de la commune de l'établissement 2;Code cedex de l'établissement 2;Libellé cedex de l'établissement 2;Code pays de l'établissement;Libellé du pays de l'établissement étranger;Date du début de la période de l'établissement;Etat administratif de l'établissement;Enseigne de l'établissement 1;Enseigne de l'établissement 2;Enseigne de l'établissement 3;Dénomination usuelle de l'établissement;Activité principale de l'établissement;Nomenclature principale de l'établissement;Caractère employeur de l'établissement;Statut de diffusion de l'unité légale;Unité légale purgée;Date de création de l'unité légale;Sigle de l'unité légale;Civilité de la personne physique;Prénom de la personne physique 1;Prénom de la personne physique 2;Prénom de la personne physique 3;Prénom de la personne physique 4;Prénom usuel de la personne physique;Pseudonyme de la personne physique;Identifiant association de l'unité légale;Tranche de l'effectif de l'unité légale;Tranche de l'effectif de l'unité légale triable;Année de la tranche de l'effectif de l'unité légale;Date du dernier traitement de l'unité légale;Nombre de périodes de l'unité légale;Catégorie de l'entreprise;Année de la catégorie de l'entreprise;Date de début de l'unité légale;Etat administratif de l'unité légale;Nom de la personne physique;Nom d'usage de la personne physique;Dénomination de l'unité légale;Dénomination usuelle de l'unité légale 1;Dénomination usuelle de l'unité légale 2;Dénomination usuelle de l'unité légale 3;Catégorie juridique de l'unité légale;Activité principale de l'unité légale;Nomenclature de l'activité principale de l'unité légale;NIC du siège de l'unité légale;Economie sociale et solidaire unité légale;Société à mission unité légale;Caractère employeur de l'unité légale;Code EPCI de l'établissement;Libellé de l'EPCI de l'établissement;Code de l'arrondissement de l'établissement;Code du département de l'établissement;Département de l'établissement;Code de la région de l'établissement;Région de l'établissement;Section de l'établissement;Sous-section de l'établissement;Division de l'établissement;Groupe de l'établissement;Classe de l'établissement;Section de l'unité légale;Sous-section de l'unité légale;Division de l'unité légale;Groupe de l'unité légale;Classe de l'unité légale;Nature juridique de l'unité légale;Première ligne de l'adressage;Adresse de l'établissement;SIRET du siège de l'unité légale;Date de fermeture de l'établissement;Date de fermeture de l'unité légale;Géolocalisation de l'établissement
412664963;00029;41266496300029;O;2010-12-01;Etablissement non employeur;-1;;4776ZP;2021-02-23T08:35:00-03:00;oui;4;;33;;Rue;ROGER BOUVRY;59113;SECLIN;;;59560;;;;;;;;;;;;;;;;;;;2015-09-23;Actif;MONDIAL FLEURS;;;;47.76Z;NAFRev2;Non;O;;1996-01-01;;Masculin;CHRISTOPHE;;;;CHRISTOPHE;;;Etablissement non employeur;-1;;2020-08-25T07:40:37-03:00;7;PME;2020;2015-09-23;Active;FERY;;;;;;1000;47.76Z;NAFRev2;00029;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;"Commerce ; réparation d'automobiles et de motocycles";Commerce de détail, à l'exception des automobiles et des motocycles;Autres commerces de détail en magasin spécialisé;Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;"Commerce ; réparation d'automobiles et de motocycles";Commerce de détail, à l'exception des automobiles et des motocycles;Autres commerces de détail en magasin spécialisé;Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;Entrepreneur individuel;Monsieur CHRISTOPHE FERY;33 Rue ROGER BOUVRY;41266496300029;;;50.548176, 3.028275
947908166;00012;94790816600012;O;2023-01-01;;;;;2023-01-05T15:01:55-03:00;oui;1;;197;;Rue;D YPRES;59520;MARQUETTE-LEZ-LILLE;;;59386;;;;;;;;;;;;;;;;;;;2023-01-01;Actif;;;;YAYA;86.90A;NAFRev2;Non;O;;2023-01-01;;Masculin;IBRAHIM;;;;IBRAHIM;;;;;;2023-01-05T15:01:55-03:00;1;;;2023-01-01;Active;YAYA;;;;;;1000;86.90A;NAFRev2;00012;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Santé humaine et action sociale;Activités pour la santé humaine;Autres activités pour la santé humaine;Autres activités pour la santé humaine;Ambulances;Santé humaine et action sociale;Activités pour la santé humaine;Autres activités pour la santé humaine;Autres activités pour la santé humaine;Ambulances;Entrepreneur individuel;Monsieur IBRAHIM YAYA;197 Rue D YPRES;94790816600012;;;50.670259, 3.052492
393696562;00023;39369656200023;O;1997-04-01;Etablissement non employeur;-1;;;;non;4;CENTRE ERGONOR;8;;Rue;DELESALLE;59110;LA MADELEINE;;;59368;;;;;;;;;;;;;;;;;;;1999-03-01;Fermé;;;;;51.4S;NAF1993;Oui;O;;1993-12-10;IFV;;;;;;;;;6 à 9 salariés;3;2020;2022-08-29T06:17:32-03:00;11;PME;2020;2020-12-31;Active;;;VIF DIFFUSION;VIF-FURNITURE;;;5499;46.47Z;NAFRev2;00072;N;;Oui;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;"Commerce ; réparations automobile et d'articles domestiques";"Commerce ; réparations automobile et d'articles domestiques";Commerce de gros et intermédiaires du commerce;Commerce de gros de biens de consommation non alimentaires;Autres commerces de gros de biens de consommation;"Commerce ; réparation d'automobiles et de motocycles";Commerce de gros, à l'exception des automobiles et des motocycles;Commerce de gros de biens domestiques;Commerce de gros de meubles, de tapis et d'appareils d'éclairage;Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage;Société à responsabilité limitée (sans autre indication);;8 Rue DELESALLE;39369656200072;1999-03-01;;50.652339, 3.058986
909627390;00018;90962739000018;O;2022-01-17;;;;;2022-02-23T16:43:16-03:00;oui;1;;66;;Rue;DE MOUVAUX;59100;ROUBAIX;;;59512;;;;;;;;;;;;;;;;;;;2022-01-17;Actif;;;;FSY SHOP 2;47.11B;NAFRev2;Oui;O;;2022-01-17;;Féminin;HOUDA;;;;HOUDA;;;;;;2022-02-23T16:43:16-03:00;1;;;2022-01-17;Active;FARRAK;;;;;;1000;47.11B;NAFRev2;00018;;;Oui;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;"Commerce ; réparation d'automobiles et de motocycles";Commerce de détail, à l'exception des automobiles et des motocycles;Commerce de détail en magasin non spécialisé;Commerce de détail en magasin non spécialisé à prédominance alimentaire;Commerce d'alimentation générale;"Commerce ; réparation d'automobiles et de motocycles";Commerce de détail, à l'exception des automobiles et des motocycles;Commerce de détail en magasin non spécialisé;Commerce de détail en magasin non spécialisé à prédominance alimentaire;Commerce d'alimentation générale;Entrepreneur individuel;Madame HOUDA FARRAK;66 Rue DE MOUVAUX;90962739000018;;;50.694217, 3.157692
842789117;00012;84278911700012;O;2018-11-02;3 à 5 salariés;2;2020;9602AA;2022-08-29T07:29:45-03:00;oui;1;;2;;Route;DE GONDECOURT;59113;SECLIN;;;59560;;;;;;;;;;;;;;;;;;;2018-11-02;Actif;;;;;96.02A;NAFRev2;Oui;O;;2018-11-02;;;;;;;;;;3 à 5 salariés;2;2020;2022-08-29T07:29:45-03:00;1;PME;2020;2018-11-02;Active;;;SADVAL;;;;5499;96.02A;NAFRev2;00012;N;;Oui;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Autres activités de services;Autres services personnels;Autres services personnels;Coiffure et soins de beauté;Coiffure;Autres activités de services;Autres services personnels;Autres services personnels;Coiffure et soins de beauté;Coiffure;Société à responsabilité limitée (sans autre indication);;2 Route DE GONDECOURT;84278911700012;;;50.543511, 3.022104
423554336;00010;42355433600010;O;1999-06-05;Etablissement non employeur;-1;;;2008-11-07T23:44:02-02:00;non;4;;62;;Avenue;JEAN LEBAS;59100;ROUBAIX;;;59512;;;;;;;;;;;;;;;;;;;2000-06-29;Fermé;;;;;45.2V;NAF1993;Oui;O;;1999-06-05;;;;;;;;;;;;;2007-10-02T12:03:49-03:00;3;;;1999-12-25;Active;;;SAPIN BLEU;;;;5499;45.2V;NAF1993;00028;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Construction;Construction;Construction;Construction d'ouvrages de bâtiment ou de génie civil;Travaux de maçonnerie générale;Construction;Construction;Construction;Construction d'ouvrages de bâtiment ou de génie civil;Travaux de maçonnerie générale;Société à responsabilité limitée (sans autre indication);;62 Avenue JEAN LEBAS;42355433600028;2000-06-29;;50.692941, 3.170262
341801751;00833;34180175100833;O;1995-06-01;Etablissement non employeur;-1;;;2019-11-14T11:00:47-03:00;non;4;;;;Avenue;MAL DE LATTRE DE TASSIGNY;59350;SAINT-ANDRE-LEZ-LILLE;;;59527;;;;;;;;;;;;;;;;;;;1998-06-30;Fermé;;;;;52.1D;NAF1993;Oui;O;;1987-07-01;;;;;;;;;;;;;2007-06-07T07:44:27-03:00;3;;;1998-12-25;Active;;;ALDI MARCHE SARL;;;;5499;52.1D;NAF1993;00320;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;"Commerce ; réparations automobile et d'articles domestiques";"Commerce ; réparations automobile et d'articles domestiques";Commerce de détail et réparation d'articles domestiques;Commerce de détail en magasin non spécialisé;Supermarchés;"Commerce ; réparations automobile et d'articles domestiques";"Commerce ; réparations automobile et d'articles domestiques";Commerce de détail et réparation d'articles domestiques;Commerce de détail en magasin non spécialisé;Supermarchés;Société à responsabilité limitée (sans autre indication);;Avenue MAL DE LATTRE DE TASSIGNY;34180175100320;1998-06-30;;50.662579, 3.033574
442191565;00021;44219156500021;O;2022-03-18;;;;;2022-04-21T05:32:23-03:00;oui;1;;;;Avenue;DE LA MOTTE;59810;LESQUIN;;;59343;;;;;;;;;;;;;;;;;;;2022-03-18;Actif;;;;;94.20Z;NAFRev2;Non;O;;2000-12-10;;;;;;;;;;;;;2022-04-21T05:32:23-03:00;5;;;2022-04-19;Active;;;CSE BOULANGER LE HUB;;;;8311;94.20Z;NAFRev2;00021;N;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Autres activités de services;Activités des organisations associatives;Activités des syndicats de salariés;Activités des syndicats de salariés;Activités des syndicats de salariés;Autres activités de services;Activités des organisations associatives;Activités des syndicats de salariés;Activités des syndicats de salariés;Activités des syndicats de salariés;Comité social économique d'établissement;;Avenue DE LA MOTTE;44219156500021;;;50.584066, 3.097996
341801751;00197;34180175100197;O;1990-12-12;Etablissement non employeur;-1;;;;non;4;;;;Route;DE LILLE;59480;LA BASSEE;;;59051;;;;;;;;;;;;;;;;;;;1998-06-30;Fermé;;;;;52.1D;NAF1993;Oui;O;;1987-07-01;;;;;;;;;;;;;2007-06-07T07:44:27-03:00;3;;;1998-12-25;Active;;;ALDI MARCHE SARL;;;;5499;52.1D;NAF1993;00320;;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;"Commerce ; réparations automobile et d'articles domestiques";"Commerce ; réparations automobile et d'articles domestiques";Commerce de détail et réparation d'articles domestiques;Commerce de détail en magasin non spécialisé;Supermarchés;"Commerce ; réparations automobile et d'articles domestiques";"Commerce ; réparations automobile et d'articles domestiques";Commerce de détail et réparation d'articles domestiques;Commerce de détail en magasin non spécialisé;Supermarchés;Société à responsabilité limitée (sans autre indication);;Route DE LILLE;34180175100320;1998-06-30;;50.53912, 2.81707
889626834;00028;88962683400028;O;2020-12-21;1 ou 2 salariés;1;2020;4331ZB;2022-08-29T07:41:54-03:00;oui;1;;41;;Rue;PAUL DOUMER;59320;HAUBOURDIN;;;59286;;;;;;;;;;;;;;;;;;;2020-12-21;Actif;;;;SUM HOME;43.31Z;NAFRev2;Non;O;;2020-10-01;;;;;;;;;;1 ou 2 salariés;1;2020;2022-08-29T07:41:54-03:00;3;PME;2020;2020-12-21;Active;;;SUM'HOME DEVELOPPEMENT;;;;5458;43.31Z;NAFRev2;00028;O;;Non;200093201;Métropole Européenne de Lille;595;59;Nord;32;Hauts-de-France;Construction;Travaux de construction spécialisés;Travaux de finition;Travaux de plâtrerie;Travaux de plâtrerie;Construction;Travaux de construction spécialisés;Travaux de finition;Travaux de plâtrerie;Travaux de plâtrerie;SARL coopérative de production (SCOP);;41 Rue PAUL DOUMER;88962683400028;;;50.609286, 2.991916
